Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,2905.0,2956.8,2886.3,2951.25,77402301.0,1336.98
04-JUN-2019,2942.1,2973.6,2937.85,2956.4,69661230.0,1123.47
06-JUN-2019,2959.45,2966.9,2911.8,2923.05,77101810.0,1363.46
07-JUN-2019,2921.25,2952.15,2892.7,2906.95,69140744.0,1128.04
10-JUN-2019,2935.35,2954.1,2890.6,2912.25,57918434.0,1007.56
11-JUN-2019,2926.35,2955.95,2906.7,2950.65,67851791.0,1129.12
12-JUN-2019,2950.85,2997.2,2942.75,2962.1,91882222.0,1727.05
13-JUN-2019,2956.6,2960.65,2914.8,2955.95,89607153.0,1288.88
14-JUN-2019,2946.15,2975.55,2926.25,2944.9,58594521.0,1002.62
17-JUN-2019,2940.9,2941.35,2855.35,2860.5,81137278.0,1492.19
18-JUN-2019,2861.9,2892.05,2838.3,2874.9,81423991.0,1451.69
19-JUN-2019,2906.85,2935.4,2856.8,2886.3,123650583.0,2246.75
20-JUN-2019,2884.1,2944.1,2870.35,2940.1,89601872.0,1392.61
21-JUN-2019,2932.7,2952.6,2919.65,2930.2,102037213.0,1768.18
24-JUN-2019,2932.85,2949.6,2887.05,2892.45,79123328.0,1305.37
25-JUN-2019,2862.55,2946.6,2854.9,2942.65,90176604.0,1735.07
26-JUN-2019,2927.25,3028.9,2924.15,3022.95,101079711.0,1815.04
27-JUN-2019,3027.5,3044.5,3004.65,3014.2,109220854.0,2107.16
28-JUN-2019,3014.7,3024.55,2960.35,2980.2,79692527.0,1311.98
01-JUL-2019,3002.6,3022.45,2959.5,2977.95,85634331.0,1473.23
02-JUL-2019,2978.35,2998.85,2958.4,2993.35,64410279.0,1054.67
03-JUL-2019,2991.1,3007.55,2968.15,2992.15,82613321.0,1287.38
04-JUL-2019,2983.55,2991.5,2957.35,2962.5,61655453.0,1046.86
05-JUL-2019,2966.75,2971.05,2843.9,2851.25,88238012.0,1313.86
08-JUL-2019,2831.55,2854.25,2782.1,2791.2,89644191.0,1255.13
09-JUL-2019,2791.65,2811.55,2770.75,2788.05,71971971.0,1157.39
10-JUL-2019,2791.7,2812.45,2736.6,2756.45,97290500.0,1602.48
11-JUL-2019,2792.15,2812.25,2765.7,2805.25,99484054.0,1578.68
12-JUL-2019,2811.0,2859.55,2785.4,2826.3,95026826.0,1703.46
15-JUL-2019,2831.0,2833.5,2783.0,2823.0,67395775.0,1104.35
16-JUL-2019,2814.2,2851.7,2810.55,2847.35,65890342.0,1086.93
17-JUL-2019,2842.5,2859.4,2827.9,2848.8,58210307.0,948.89
18-JUL-2019,2837.85,2840.4,2772.0,2778.6,68926959.0,1068.36
19-JUL-2019,2795.4,2807.9,2734.0,2741.85,87063590.0,1480.45
22-JUL-2019,2743.65,2795.7,2734.85,2788.1,85850050.0,1375.42
23-JUL-2019,2792.25,2796.95,2765.9,2778.75,61577981.0,1001.2
24-JUL-2019,2780.4,2786.1,2691.45,2712.95,95406532.0,1464.89
25-JUL-2019,2718.0,2736.25,2678.05,2686.4,105150125.0,1729.59
26-JUL-2019,2694.95,2708.4,2662.35,2692.45,100451734.0,1521.14
29-JUL-2019,2686.85,2689.15,2603.3,2611.9,87105689.0,1477.26
30-JUL-2019,2614.0,2646.2,2510.35,2527.0,102407306.0,1570.96
31-JUL-2019,2513.55,2595.9,2495.4,2588.15,100321010.0,1583.79
01-AUG-2019,2571.2,2572.05,2486.7,2507.05,97881598.0,1559.26
02-AUG-2019,2474.7,2494.95,2430.35,2459.1,133622061.0,2006.15
05-AUG-2019,2428.2,2439.45,2362.75,2415.35,105475190.0,1556.05
06-AUG-2019,2385.5,2466.5,2385.1,2448.05,97127314.0,1516.01
07-AUG-2019,2441.85,2445.15,2378.2,2389.45,98686916.0,1500.87
08-AUG-2019,2391.25,2425.15,2355.75,2418.8,138274688.0,2060.46
09-AUG-2019,2430.7,2453.5,2390.1,2398.0,111809408.0,1691.56
13-AUG-2019,2381.85,2410.75,2350.05,2355.9,140378237.0,1667.1
14-AUG-2019,2381.7,2423.65,2367.75,2411.05,162317062.0,2175.36
16-AUG-2019,2391.95,2411.2,2356.5,2402.05,115682747.0,1627.3
19-AUG-2019,2413.7,2420.7,2384.9,2391.35,74033733.0,1071.08
20-AUG-2019,2391.65,2393.05,2337.2,2351.15,92494798.0,1209.42
21-AUG-2019,2340.35,2342.4,2277.25,2283.2,126068128.0,1482.49
