Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,9827.75,9931.65,9796.85,9922.6,1186517526,31863.94
04-JUN-2019,9898,9941.45,9865.6,9876.2,1222700958,30135.7
06-JUN-2019,9889.55,9889.55,9712.05,9722.5,1535007689,36565.33
07-JUN-2019,9736.05,9761.75,9653.7,9735.85,1358725281,29256.42
10-JUN-2019,9784.45,9813.65,9727.9,9765.85,1501544968,25690.54
11-JUN-2019,9791.9,9826.65,9743.05,9805.1,1403396274,27744.02
12-JUN-2019,9801.95,9802.05,9727.75,9749.95,1126421205,24974.71
13-JUN-2019,9727.15,9758.9,9668.05,9747.05,1364817828,30110.12
14-JUN-2019,9742.8,9745.15,9652.6,9669.95,1208570037,27628.29
17-JUN-2019,9681.9,9681.95,9533.35,9543.6,1168363037,27495.66
18-JUN-2019,9547.5,9587.05,9514.1,9551.35,1394995294,28194.06
19-JUN-2019,9592.15,9634.15,9476.1,9526.2,1778939283,32158.01
20-JUN-2019,9501.55,9655.25,9476.25,9646,1877804938,31902.84
21-JUN-2019,9641.15,9641.25,9566.1,9581.6,1724488279,38352.72
24-JUN-2019,9585.95,9605.05,9543.4,9564.1,1303669501,24312.1
25-JUN-2019,9548.65,9643.75,9525.95,9632.85,1394460923,28895.71
26-JUN-2019,9611.95,9699.65,9604.15,9682.8,1657315235,29649.25
27-JUN-2019,9694.55,9733.95,9675.5,9692.35,2023509131,40069.1
28-JUN-2019,9707.45,9713.75,9644.1,9657.95,1289867464,28607.2
01-JUL-2019,9697,9724.35,9691.9,9713,1077596417,23708.17
02-JUL-2019,9734.75,9750.05,9675.8,9744.85,1196770112,24392.96
03-JUL-2019,9762.85,9774.8,9731.5,9757.3,1065751622,25094.2
04-JUL-2019,9767.8,9793.5,9765.2,9776.8,1147118816,25933.88
05-JUL-2019,9793.65,9805.3,9644.85,9657.65,1396093695,32083.96
08-JUL-2019,9619.4,9620.9,9418,9447.8,1288620102,30917.49
09-JUL-2019,9428.05,9473.4,9375.8,9455.65,1214460295,33655.33
10-JUL-2019,9443.65,9482.5,9385.7,9400.1,1026048152,27668.55
11-JUL-2019,9447.15,9475.7,9414.1,9466.4,1079846072,26576.05
