Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,8145.45,8345.25,8107.3,8328.2,89801248,3559.9
04-JUN-2019,8320.4,8358,8283.45,8300.2,69225396,2294.21
06-JUN-2019,8329.6,8350.55,8174.6,8226.45,58357187,2340.59
07-JUN-2019,8245.8,8252.65,8129.85,8192,50359183,1667.66
10-JUN-2019,8239.25,8261.1,8163.65,8216.65,57218569,1528.47
11-JUN-2019,8242.75,8257.85,8202.95,8240.25,49864612,1485.48
12-JUN-2019,8229.9,8238.75,8131.2,8146.95,49208636,1460.15
13-JUN-2019,8133.45,8150.6,8060.5,8116.95,55681111,1663.54
14-JUN-2019,8102.05,8126.35,8013.75,8031.6,38030659,1227.97
17-JUN-2019,8037.8,8043.8,7878.95,7896.1,92608293,2354.54
18-JUN-2019,7901.3,7953.15,7815.55,7859.35,53629690,1913.14
19-JUN-2019,7904,7931.15,7727.85,7772.2,62751320,1928.79
20-JUN-2019,7758.8,7981.45,7722.65,7965.45,79852588,2233.76
21-JUN-2019,7921.8,7937.5,7840.35,7868.25,63645618,2457.88
24-JUN-2019,7855.65,7868.85,7761.75,7832.3,48557902,2039.05
25-JUN-2019,7811.65,7890.55,7793.9,7878.25,64613518,2053.24
26-JUN-2019,7863.85,7922.85,7847.8,7883.55,63228652,1829.07
27-JUN-2019,7903.35,8021.25,7901.05,7971.45,86570976,2906.06
28-JUN-2019,7984.05,8004.1,7918.65,7928.05,44954490,1608.84
01-JUL-2019,7981.85,8047.05,7965.2,8029.15,60202481,2209.15
02-JUL-2019,8017,8057.85,7959.95,8045.65,47770125,1753.38
03-JUL-2019,8063.25,8090,8024.65,8039.5,52767982,1670.41
04-JUL-2019,8053.65,8099.05,8031.4,8077.2,44669387,1644.92
05-JUL-2019,8091.45,8097.1,7810.5,7849.1,46549411,1852.57
08-JUL-2019,7794.25,7794.25,7564.4,7593.3,52868834,2751.44
09-JUL-2019,7591.5,7630.7,7538.65,7593.3,47860460,2082.57
10-JUL-2019,7593.15,7609.7,7484.35,7511.15,57074937,1816.46
11-JUL-2019,7552.05,7665.9,7504.45,7650.95,58527421,2002.68
12-JUL-2019,7641.8,7719,7603.75,7653.65,58668910,2023.94
15-JUL-2019,7659.65,7709.7,7628.7,7674.25,43579162,1607.43
16-JUL-2019,7633.3,7739.15,7602.6,7727.1,82376753,2100.85
17-JUL-2019,7719.1,7738.8,7638.35,7648.15,49942047,1672.52
18-JUL-2019,7632.1,7638.05,7427.2,7438.7,62688612,2244.11
19-JUL-2019,7462.6,7475.2,7180.05,7192.75,73142805,2838.24
22-JUL-2019,7203.75,7291.85,7146.8,7220.25,64075458,2541.91
23-JUL-2019,7234.35,7235.5,7157.3,7176.65,81728947,2534.18
24-JUL-2019,7162.85,7174.9,7017,7036.7,67418856,2219.53
25-JUL-2019,7040.4,7086.45,6996.3,7010.55,70812366,2438.08
26-JUL-2019,6979.85,7227.65,6968.05,7161.5,127546963,4547.71
29-JUL-2019,7123.55,7127.15,6896.25,6905.7,82855253,2847.79
30-JUL-2019,6907.95,6954.2,6747.4,6763.75,86871285,2745.63
31-JUL-2019,6762.15,6883.4,6727.55,6851.65,84478097,2964.23
01-AUG-2019,6806.7,6883.35,6764.2,6856.1,115698845,2879.71
02-AUG-2019,6791.75,6971.05,6732.65,6933.75,225293788,4429.9
05-AUG-2019,6859.85,6900.85,6751,6844.6,100754900,2598.09
06-AUG-2019,6802.05,6956.5,6801.9,6942.45,94537331,2589.36
07-AUG-2019,6951.15,6964.15,6768.9,6792.6,93977926,2623.51
08-AUG-2019,6792.4,7019.25,6784.8,6998.45,101327372,2656.82
09-AUG-2019,7032.65,7175.1,7005.75,7137.4,138892086,3514.25
13-AUG-2019,7137.25,7137.25,6840.3,6855.75,99501359,2699.69
14-AUG-2019,6876.95,6985.85,6811,6919.05,90734066,2656.58
16-AUG-2019,6883.7,7013.75,6772.1,6998.45,87715179,2677.18
19-AUG-2019,7019.15,7042.95,6938.5,6959.15,64873190,2101.02
20-AUG-2019,6979.4,7067.85,6940.6,7040.5,71208803,3148.14
21-AUG-2019,7053.05,7094.25,6967.6,7001.85,129827659,3679.6
22-AUG-2019,6990.05,6991.55,6864.95,6882.1,120560834,3006.18
23-AUG-2019,6864,7003.8,6801,6988.35,104958890,2692.64
26-AUG-2019,7202.7,7202.7,6871.05,7022.75,158857486,3502.62
27-AUG-2019,7069.7,7185,7055.9,7152.95,162100149,4588.93
28-AUG-2019,7148.2,7186.1,6985.3,7018.55,127422968,2940.25
29-AUG-2019,7000.6,7043.9,6944.1,6970.15,86464330,2395.26
30-AUG-2019,7004.5,7029.15,6901.65,7009.3,83120519,2092.11
03-SEP-2019,6921.75,6962.75,6884.75,6897.75,103145073,2612.45
04-SEP-2019,6902.95,6932.65,6744.75,6782.05,143223717,3325.65
05-SEP-2019,6788.4,6935,6786.1,6921.75,126336613,2670.82
06-SEP-2019,6947.95,7119.15,6920.35,7102.45,123463539,3384.35
09-SEP-2019,7023.9,7178.6,6992.85,7165.35,102959477,3235.17
11-SEP-2019,7193.15,7443.9,7177.9,7423.6,193625715,5106.94
12-SEP-2019,7420.55,7459.15,7270.65,7284,127198971,3557.06
13-SEP-2019,7307.75,7372.75,7249.75,7360.6,139514421,3668.45
16-SEP-2019,7286.75,7384.65,7263.4,7300.65,80491033,2472.99
17-SEP-2019,7308.65,7324.7,7004.35,7020.75,110555921,3200.04
18-SEP-2019,7068.15,7111.55,6924.2,7012.1,120391847,3328.8
19-SEP-2019,7033.7,7051.75,6886.85,6920.6,92834925,2701.02
20-SEP-2019,6955.55,7778.15,6936.2,7605.85,276682874,9488.53
23-SEP-2019,7714,7939.25,7654.4,7802.65,195308260,6264.82
24-SEP-2019,7854.1,7921.4,7700.65,7773.25,139583803,4517.07
25-SEP-2019,7747.7,7747.7,7437.65,7470.45,133274744,4151.32
26-SEP-2019,7501.45,7680.1,7491.05,7659.75,121310120,3999.39
27-SEP-2019,7628.55,7648.85,7528.3,7554.25,92823672,2867.63
30-SEP-2019,7568.25,7572.1,7395.5,7493.15,97283068,2719.48
01-OCT-2019,7513.05,7593.7,7353.8,7464.1,106674267,3270.1
03-OCT-2019,7458.4,7521.95,7431.75,7493.75,122347551,2750.87
04-OCT-2019,7530.75,7578.6,7381.75,7404.9,110952225,2688.52
07-OCT-2019,7385.85,7397,7296.5,7355.45,86005241,1883.58
09-OCT-2019,7363.9,7473.3,7331.65,7460.75,115383248,2729.4
10-OCT-2019,7440.8,7445.8,7332.95,7359.65,90133067,2091.09
11-OCT-2019,7386.65,7457.85,7322.3,7397.05,86661942,2092.4
14-OCT-2019,7401.5,7559.6,7397.8,7520.35,115690568,2612.81
15-OCT-2019,7522,7701.95,7510.1,7688.25,111068086,3503.22
16-OCT-2019,7709.8,7720.4,7642.8,7673.8,89943065,2478.85
17-OCT-2019,7676.55,7954.2,7655.5,7914,151459726,4572.11
18-OCT-2019,7900.15,8007.15,7848.95,7964.75,148501636,4256.95
22-OCT-2019,7961.15,8027.8,7920,7936.65,106951075,2996.91
23-OCT-2019,7915.6,8071.15,7879.4,8036.6,99136842,3718.02
24-OCT-2019,8060.35,8103.1,7965.55,8012.4,92130602,3629.59
25-OCT-2019,8032.45,8034.35,7927.75,7986.35,84276526,2848.34
27-OCT-2019,8086.4,8135.15,8071.25,8102,46345481,896.83
29-OCT-2019,8133.25,8479.05,8128.5,8449.75,278954755,6604.87
30-OCT-2019,8501.15,8501.15,8360.75,8428.9,143314181,4299.05
31-OCT-2019,8457.45,8499.7,8427.75,8449.5,144960319,4180.73
01-NOV-2019,8461.65,8499.1,8367.3,8392.9,95690034,3787.83
04-NOV-2019,8377.1,8417.8,8266.65,8280.35,83073032,2768.9
05-NOV-2019,8288.75,8381.2,8227.85,8256.15,88141197,3107.02
