Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2020,29751.55,29752.05,29326.2,29359.85,44818763,2760.05
03-JUN-2020,29704.1,29887.8,29431.5,29527,52614359,4468.22
04-JUN-2020,29573.25,29725.15,29311.3,29621.55,44781238,2804.16
05-JUN-2020,29789.35,29802.75,29428.25,29542,39218958,2824.18
08-JUN-2020,29891.3,29891.3,29447.55,29502.15,47190168,3174.02
09-JUN-2020,29507.25,30117.65,29455.05,29524.9,67577739,3397.43
10-JUN-2020,29645.2,29770.75,29379.9,29503.2,48134327,2517.49
11-JUN-2020,29552.1,29698.95,29045.65,29092.45,40953084,2515.27
12-JUN-2020,28356.65,29227.25,28319.1,29145.6,50796438,3070.28
15-JUN-2020,29187.5,29215.85,28591.15,28701.8,46194485,2626.53
16-JUN-2020,29081.2,29103.3,28349,28575.35,51030891,2850.98
17-JUN-2020,28517.9,28673.85,28384.7,28431.75,41710967,2335.12
18-JUN-2020,28402.3,28730.2,28393.8,28648.7,45432001,2330.64
19-JUN-2020,28784.1,28816.85,28592.45,28709.45,59057453,3420.96
22-JUN-2020,28961.05,29058.2,28718.95,28865.45,51163839,2474.24
23-JUN-2020,28993.35,29452.05,28923.05,29355.2,56744985,3490.97
24-JUN-2020,29568.2,29942.7,29433.6,29487.4,79281997,3539
25-JUN-2020,29378.25,30174.6,29338.35,30113.25,101089409,4778.15
26-JUN-2020,30369.75,30505.15,29655.5,29757.05,94831983,3542.15
29-JUN-2020,30035.3,30168.35,29820.2,29971.65,113894850,4115.91
30-JUN-2020,30170.45,30219.8,30019.75,30063.25,70668065,3456.56
01-JUL-2020,30093.9,30286.1,29983.65,30232.5,61624757,2630.52
02-JUL-2020,30352.5,30399.7,30136.5,30316.2,60014284,2625.83
03-JUL-2020,30501.95,30632.3,30428.35,30529.1,57187574,2528.14
06-JUL-2020,30724.8,30736.5,30566.6,30647.65,56527182,2527.16
07-JUL-2020,30772.85,30797.25,30420.75,30518.2,59860232,2974.75
08-JUL-2020,30574.25,30919.1,30402.75,30773.9,51567719,3243.91
09-JUL-2020,30785.7,30891.4,30581.45,30671.75,39786405,2352.95
10-JUL-2020,30618.2,30860.55,30575.75,30821.15,36864480,2537.74
13-JUL-2020,31011.9,31283.15,30977.15,31214.9,42666375,3156.21
14-JUL-2020,31192.35,31305.65,30848.3,30932.85,37205261,2187.65
15-JUL-2020,31038.1,31236.45,30978.3,31140.45,44227840,2571.69
16-JUL-2020,31195.15,31246.2,30633.7,31182.35,39586709,2769.73
17-JUL-2020,31217.3,31528.4,31191.5,31439.3,39264408,3947.37
20-JUL-2020,31571.4,31598.6,31284.05,31536.35,37452764,3585.29
21-JUL-2020,31626.8,31708,31240.9,31280.25,48250528,3277.19
22-JUL-2020,31420.85,31422.3,30946.35,31051.6,58426954,3966.77
23-JUL-2020,31177.9,31326.45,31052.4,31101.9,54206420,3074.55
24-JUL-2020,31009.95,31138.55,30653.4,31018.85,80399286,3673.39
27-JUL-2020,31129.45,31183.15,30708.2,30819.75,42846932,2254.9
28-JUL-2020,30891,31047.1,30764.3,30910.9,47078774,2519.07
29-JUL-2020,30818.1,31139.75,30816.4,30948.5,43005172,3484.08
30-JUL-2020,31104.45,31134.55,30582.75,30696.4,39765129,2687.68
31-JUL-2020,30734.8,31032.55,30677.65,30872.45,39156532,2465.35
03-AUG-2020,30892.8,30985,30674.45,30759.8,31101220,1970.93
04-AUG-2020,30903.5,31059.45,30782.85,30901.65,40672518,2579.97
05-AUG-2020,31050.3,31090.1,30728.5,30863.6,85517874,3693.94
06-AUG-2020,31010.25,31326.85,30926.25,31287.6,46808207,2767.64
07-AUG-2020,31329.65,31597,31209,31490.6,69952396,3867.27
10-AUG-2020,31597.05,31791.7,31584.65,31621.75,48164023,2633.12
11-AUG-2020,31730.1,32155.5,31725.6,31767.75,82198272,3078.01
12-AUG-2020,31690.3,31723.45,31537.9,31636.7,41031436,2085.32
13-AUG-2020,31680.8,31867.8,31441.1,31668.15,48597230,2567.34
14-AUG-2020,31763.35,31828.8,31115.5,31237.95,51162508,2435.25
17-AUG-2020,31428.95,31600,31179.05,31545.15,29580884,1988.58
18-AUG-2020,31626.75,31762.65,31559.7,31726.15,30234921,2094.05
19-AUG-2020,31738.45,31911.25,31548.6,31586.05,32271639,1989.21
20-AUG-2020,31445.6,31556.35,31307.1,31439.9,32399851,1970.91
21-AUG-2020,31690.25,31724.15,31563.4,31604.4,30990640,1865.49
24-AUG-2020,31692.25,31799.4,31606.8,31642,32498639,2431.88
25-AUG-2020,31700.65,31724.4,31394,31460.3,31125667,2004.86
26-AUG-2020,31528,31536.2,31313.65,31408.45,41957471,2435.69
27-AUG-2020,31602.05,31636.6,31277.1,31314.45,61728229,2751.8
28-AUG-2020,31410.8,31451.3,31203.7,31253.45,52707865,2647.32
31-AUG-2020,31457.85,31457.85,30475.85,30595.15,126435123,4838
01-SEP-2020,30727.5,31130.85,30525.3,30988.15,61292900,2796.04
02-SEP-2020,31099.4,31248.35,30942.25,31084.35,42533239,2875.26
03-SEP-2020,31155.6,31346.95,31100.7,31316.85,45238628,3093.41
04-SEP-2020,30969.8,31156.25,30769.1,30828.65,60593264,2723.53
07-SEP-2020,30897.7,31053.25,30407.85,31003.85,50948337,2544.44
08-SEP-2020,31001.65,31052.65,30748.4,30818.45,41681915,2213.52
09-SEP-2020,30534.6,30678.1,30461,30633.6,45838428,2377.9
10-SEP-2020,30757.15,30824,30578.95,30778.75,33547489,2068.62
11-SEP-2020,30736.5,31023,30730.55,30972.25,40985552,2887.79
14-SEP-2020,31151.85,31153.8,30669.25,30760.5,47903562,2327.54
15-SEP-2020,30846.25,30866.6,30617.9,30712.2,44767543,1961.46
16-SEP-2020,30748.3,30865.9,30670.05,30837.55,67774629,2809.24
17-SEP-2020,30822.7,30894.4,30613.45,30651.75,53980789,2663.33
18-SEP-2020,30730.1,30758.65,30321.9,30460.85,57959542,3601.68
21-SEP-2020,30491.75,30526.65,29381.35,29541.75,42355098,2726.17
22-SEP-2020,29564.6,29583.85,29065.45,29312.4,36295074,2101.82
23-SEP-2020,29426,29652.25,29149.15,29322.35,79424899,2809.51
24-SEP-2020,29200.4,29275.95,28969.35,29044.95,58951516,3074.18
25-SEP-2020,29371.9,29763.75,29221.1,29633.5,52444101,2775.16
28-SEP-2020,29754.95,30001.6,29630.55,29886.2,41743164,2092.2
29-SEP-2020,30026.1,30056.45,29396.8,29434.8,46576009,2331.59
30-SEP-2020,29507.9,30015.95,29437.75,29841.75,42766330,2546.82
01-OCT-2020,30149.15,30155.95,29894.05,30009.55,37474463,1962.37
05-OCT-2020,30083.8,30217.25,29965,30112.15,41338529,1961.64
06-OCT-2020,30228.35,30397,29965.05,30054.7,46729790,2474.75
07-OCT-2020,30138.4,30310.45,30072.6,30168.8,35727139,2173.3
08-OCT-2020,30262.95,30325,30006.55,30136.05,43944115,2036.2
09-OCT-2020,30130.05,30258.7,29862.3,29923.9,42672098,2101.94
