Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2023,5934.7,5967.7,5906.85,5956,116875081,3430.07
05-JUN-2023,5991.15,5998.9,5956.2,5975.9,92887901,2442.55
06-JUN-2023,6002.85,6012.35,5943.55,5967.45,74796632,2861.29
07-JUN-2023,5995,6062.15,5968.75,6057.75,105413069,2544.14
08-JUN-2023,6072.45,6149.25,6056.65,6067.7,117356847,3459.81
09-JUN-2023,6093.45,6099.75,6017.45,6039.35,83109212,1873.63
12-JUN-2023,6068.35,6101.3,6048.2,6076.3,63407870,1773.99
13-JUN-2023,6110.45,6157.85,6088.25,6127.65,83443856,2083.89
14-JUN-2023,6163.5,6225.8,6158.5,6214.75,134309317,2777.59
15-JUN-2023,6230.8,6236.25,6190.2,6203.05,89655511,2441.8
16-JUN-2023,6244.25,6265.3,6214.7,6231.5,93281885,3618.04
19-JUN-2023,6260.85,6285.2,6166.6,6203.5,96951070,4401.94
20-JUN-2023,6214.1,6279.4,6184.9,6246.65,98214066,2590.35
21-JUN-2023,6264.4,6270.1,6158.25,6187.75,88655389,3293.44
22-JUN-2023,6193.9,6244.6,6158.45,6190.95,87920317,3518.4
23-JUN-2023,6164.8,6166.2,6023.15,6037.2,81427987,4645.03
26-JUN-2023,6037.8,6098.3,5988.6,6083.1,73518135,2961.43
27-JUN-2023,6117.1,6156.1,6112.45,6127.65,69426598,2063.2
28-JUN-2023,6167.2,6238.05,6151.85,6211.05,114242987,8592.57
30-JUN-2023,6236.4,6238.15,6186.45,6209.1,79944483,2577.9
03-JUL-2023,6254.4,6308.75,6243.45,6275.45,94813917,2394.4
04-JUL-2023,6301.65,6315.85,6243.1,6275.2,71375706,1851.81
05-JUL-2023,6285.1,6314.45,6270.05,6292.3,84087258,2266.4
06-JUL-2023,6297.8,6331.55,6262.55,6325.35,104224004,2709.15
07-JUL-2023,6305.85,6343.55,6253.35,6279.25,90348941,2190.73
10-JUL-2023,6300.35,6408.5,6284.7,6385.1,154992671,3597.31
11-JUL-2023,6405.65,6413.45,6361.75,6369.1,97636608,2438.04
12-JUL-2023,6391.5,6411.9,6327.7,6363.25,125832466,4189.75
13-JUL-2023,6419.9,6451.2,6355.3,6379.7,126935964,2735.78
14-JUL-2023,6431.4,6487.15,6403.85,6469.45,125767625,2551.09
17-JUL-2023,6500.4,6554.85,6482.15,6500.55,145617014,3096.17
18-JUL-2023,6511.4,6541,6427.45,6446.75,78764611,2861.01
19-JUL-2023,6470.65,6497.7,6452.7,6474.55,61821658,1779.76
20-JUL-2023,6493.3,6493.6,6455.95,6485.25,64513750,1660.19
21-JUL-2023,6471.9,6538,6432.75,6442.3,91489887,2627.22
24-JUL-2023,6442.1,6448.3,6384.6,6395.55,86567809,2054.63
25-JUL-2023,6426.2,6591,6411.35,6583.65,186973931,3934.9
26-JUL-2023,6610.4,6617.35,6580.35,6604.95,81682312,2578.11
27-JUL-2023,6626.8,6674.6,6556.2,6581.55,84859166,2194.75
28-JUL-2023,6593.05,6647.65,6551.1,6640.8,77108575,2036.17
31-JUL-2023,6643.65,6767.85,6643.65,6758.2,184140261,4049.96
01-AUG-2023,6793.85,6819.85,6751.1,6770.15,141457794,2908.44
02-AUG-2023,6757.6,6757.6,6580.3,6633.45,142543327,3025.93
03-AUG-2023,6600.8,6627.9,6532.75,6602.2,319394242,8509.17
04-AUG-2023,6658.8,6676.65,6608.05,6622.9,112540419,3206.4
07-AUG-2023,6655.7,6659.75,6580.65,6622.15,97997189,3181.71
08-AUG-2023,6635.05,6635.95,6537.6,6544.8,90022001,3345.85
09-AUG-2023,6562.8,6690.85,6545.9,6677.85,102737442,3550.25
10-AUG-2023,6679.95,6747.1,6663.65,6723.3,93821684,4026.02
11-AUG-2023,6722.4,6729.7,6652.9,6688.85,119685942,4081.31
14-AUG-2023,6643.5,6648.15,6513.1,6545.95,147698479,4762.56
16-AUG-2023,6534.65,6536.55,6455.1,6484.1,137642025,3861.17
